symbol,passed,close,rule_1_weekly_close_gt_weekly_sma20,rule_2_pullback_ge_3pct,rule_3_pullback_le_15pct,rule_4_new_10d_closing_high,rule_5_breakout_ge_5pct,rule_6_breakout_le_20pct,rule_7_strong_close_small_wick,rule_8_macd_line_gt_signal,rule_9_recent_macd_cross,rule_10_volume_surge_1.3x,rule_16_atr_pct_le_8,pullback_pct,atr_pct_of_close,stop_loss_10pct,sma10_exit_level,sma10_already_broken,rule_11_roe_ge_10pct,rule_12_roce_ge_10pct,rule_13_net_sales_gt_0,rule_14_net_profit_gt_0,rule_15_operating_margin_ge_10pct,roe_pct,roce_pct,operating_margin_pct
ABBV,False,254.49,True,False,True,False,False,True,False,False,True,False,True,2.8,2.59,229.04,250.59,False,False,True,True,True,True,-63.5,16.0,26.6
ABNB,False,145.98,True,True,True,False,False,True,False,False,True,True,True,3.8,2.98,131.38,146.99,True,True,True,True,True,False,32.9,24.3,3.2
ABT,False,100.68,False,False,True,True,False,True,False,True,True,False,True,2.4,3.14,90.61,94.48,False,True,False,True,True,True,12.5,8.7,12.0
ACN,False,143.57,False,True,True,False,False,True,False,True,True,False,True,4.0,5.25,129.21,138.89,False,True,True,True,True,True,24.1,21.7,17.0
ADBE,False,237.25,False,False,True,True,False,True,False,True,True,False,True,1.3,3.97,213.53,225.53,False,True,True,True,True,True,61.9,48.8,33.8
ADI,False,375.36,True,True,True,False,False,True,False,False,True,False,True,8.5,4.42,337.82,386.82,True,False,False,True,True,True,6.7,6.7,87.7
ADSK,False,218.35,False,False,True,True,False,True,False,True,True,True,True,1.7,3.77,196.52,210.55,False,True,True,True,True,True,35.2,23.6,28.0
AEE,False,111.55,True,True,True,False,False,True,True,False,True,True,True,4.5,2.0,100.4,112.77,True,False,False,True,True,True,3.9,4.4,24.4
AEP,False,132.14,True,True,True,False,False,True,True,False,True,False,True,6.3,2.02,118.93,134.7,True,False,False,True,True,True,4.7,5.1,22.6
AKAM,False,120.19,True,True,True,False,False,True,True,True,True,True,True,11.5,5.2,108.17,121.96,True,False,False,True,True,True,9.2,5.3,17.1
ALB,False,120.78,False,True,False,False,False,True,True,False,True,False,True,16.8,5.56,108.7,126.62,True,False,False,True,True,True,-5.2,-2.7,16.3
ALGN,False,176.76,True,True,True,False,False,True,False,False,True,False,True,8.4,4.13,159.08,180.14,True,False,True,True,True,True,9.9,12.4,112.8
ALLE,False,137.24,False,True,True,False,False,True,False,False,True,False,True,3.8,2.73,123.52,137.16,False,True,True,True,True,True,48.8,18.8,18.9
ALNY,False,267.47,False,True,False,False,False,True,True,False,True,False,True,29.9,5.55,240.72,296.88,True,True,True,True,True,True,39.8,14.3,139.2
AMAT,False,529.66,True,True,False,False,False,True,False,False,True,False,False,21.9,8.51,476.69,575.01,True,True,True,True,True,True,29.3,26.5,48.9
AMD,False,495.76,True,True,False,False,False,True,False,False,True,False,True,19.9,7.61,446.18,529.85,True,False,False,True,True,True,6.7,5.3,93.2
AME,False,237.0,True,True,True,False,False,True,True,False,True,False,True,4.2,2.33,213.3,234.1,False,True,True,True,True,True,13.6,14.1,26.7
AMGN,False,366.29,True,True,True,False,False,True,False,False,True,False,True,3.6,2.49,329.66,364.14,False,True,True,True,True,True,83.9,13.4,40.9
AMT,False,170.06,False,False,True,True,False,True,True,True,True,False,True,1.4,2.57,153.05,167.19,False,True,False,True,True,True,48.0,9.1,45.3
AMZN,False,247.23,True,True,True,False,False,True,False,True,True,False,True,5.6,3.07,222.51,247.3,True,True,True,True,True,True,17.6,11.4,13.1
ANET,False,168.61,True,True,False,False,False,True,False,False,True,False,True,17.2,6.27,151.75,176.53,True,True,True,True,True,True,26.0,25.5,42.7
AON,False,367.21,True,False,True,False,False,True,False,True,True,False,True,0.8,2.55,330.49,360.4,False,True,True,True,True,True,37.6,16.2,53.3
AOS,False,58.85,False,True,True,False,False,True,True,False,True,False,True,6.5,2.98,52.96,60.28,True,True,True,True,True,True,29.1,26.3,17.1
APD,False,295.62,True,True,True,False,False,True,False,False,True,False,True,6.3,2.83,266.06,299.4,True,False,False,True,True,True,-2.5,-2.3,23.7
